Study Area,Geography,Geofence_Id
Albion_Islington_Square,EA Standard,E2182701
Aurora,Custom,C11399
Baby_Point_Gates,Custom,C12401
Barrhaven,EA Standard,E2182656
Barrhaven_Zone_1,Custom,C12402
Barrhaven_Zone_2,Custom,C12403
Barrhaven_Zone_3,Custom,C12404
Barrhaven_Zone_4,Custom,C12405
Barrhaven_Zone_5,Custom,C12406
Bayview_Leaside,EA Standard,E2182703
Beltline,Custom,C12407
Bloor_Annex,EA Standard,E2182704
Bloor_By_The_Park,EA Standard,E2182707
Bloor_West_Village,EA Standard,E2182706
Bloor_Yorkville,EA Standard,E2182708
Bloorcourt_Village,EA Standard,E2182709
Bloordale_Village,EA Standard,E2182710
Broadview_Danforth,EA Standard,E2182711
Byward_Market,EA Standard,E2182658
Cabbagetown,EA Standard,E2182712
Calgary_CDA,Custom,C12412
Calgary_CDA_Beltine,Custom,C12410
Calgary_CDA_Chinatown,Custom,C12413
Calgary_CDA_Downtown_Core,Custom,C12419
Calgary_CDA_Downtown_West,Custom,C12423
Calgary_CDA_East_Village,Custom,C12437
Calgary_CDA_Eau_Claire,Custom,C12438
Cedarbrae_Markham_Lawrence_Village,EA Standard,E2613945
Chinatown,EA Standard,E2182713
Church_Wellesley_Village,EA Standard,E2182714
CityPlace_and_Fort_York,EA Standard,E2182715
College_Promenade,EA Standard,E2182716
College_West,EA Standard,E2182717
Corso_Italia,Custom,C12722
Crossroads_of_the_Danforth,EA Standard,E2182719
Danforth_Mosaic,EA Standard,E2182720
Danforth_Village,EA Standard,E2182721
Dovercourt_Village,EA Standard,E2182722
Downtown Edmonton,EA Standard,E2182575
Downtown_Calgary,Custom,C12411
Downtown_Calgary_Zone_1,Custom,C12424
Downtown_Calgary_Zone_2,Custom,C12425
Downtown_Calgary_Zone_3,Custom,C12426
Downtown_Calgary_Zone_4,Custom,C12427
Downtown_Calgary_Zone_5,Custom,C11459
Downtown_Dartmouth,EA Standard,E2182591
Downtown_East_Side,Custom,C12428
Downtown_East_Side_Chinatown,Custom,C12416
Downtown_East_Side_Gastown,Custom,C12448
Downtown_East_Side_Industrial,Custom,C12451
Downtown_East_Side_Oppenheimer_District,Custom,C12458
Downtown_East_Side_Strathcona,Custom,C12468
Downtown_East_Side_Thornton_Park,EA Standard,E2613949
Downtown_East_Side_Victory_Square,Custom,C12475
Downtown_Halifax,Custom,C12420
Downtown_Halifax_Barrington,Custom,C12725
Downtown_Halifax_Entertainment,Custom,C12726
Downtown_Halifax_Financial,Custom,C12727
Downtown_Halifax_South_Barrington,Custom,C12728
Downtown_Halifax_South_Suburbs,Custom,C12729
Downtown_Halifax_Waterfront,Custom,C12730
Downtown_Kamloops,Custom,C12421
Downtown_Kitchener,Custom,C12429
Downtown_Kitchener_Zone_1,Custom,C12731
Downtown_Kitchener_Zone_2,Custom,C12430
Downtown_Kitchener_Zone_3,Custom,C12431
Downtown_London,EA Standard,E2182616
Downtown_London_CBD,Custom,C12432
Downtown_London_Historic_Core,Custom,C12433
Downtown_London_Industrial,Custom,C12434
Downtown_London_Residential,Custom,C11468
Downtown_London_Richmond_Row,Custom,C12435
Downtown_Ottawa,EA Standard,E2182671
Downtown_Paris,Custom,C12422
Downtown_Rideau,EA Standard,E2182661
Downtown_Winnipeg,EA Standard,E2182821
Downtown_Yonge,EA Standard,E2182723
DuKe_Heights,EA Standard,E2182724
Dupont_by_the_Castle,EA Standard,E2182725
East_Kamloops,Custom,C12436
Eglinton_Hill,EA Standard,E2182726
Emery_Village,Custom,C12439
Fairbank_Village,EA Standard,E2182728
Financial_District,Custom,C12441
Fogo_Island,Custom,C12442
Fogo_Island_Civic_Centre,Custom,C12443
Fogo_Island_Eastern_Tickle,Custom,C12444
Fogo_Island_Joe_Batts_Arm,Custom,C12445
Fogo_Island_Seldom,Custom,C12446
Forest_Hill_Village,Custom,C12447
Georgina,Custom,C12449
Gerrard_India_Bazaar,EA Standard,E2182731
Glebe,EA Standard,E2182662
Greektown_on_the_Danforth,EA Standard,E2182732
Harbord_Street,EA Standard,E2182733
Hillcrest_Village,EA Standard,E2182734
Historic_Queen_East,Custom,C12450
Kennedy_Road,EA Standard,E2182737
Kensington_Market,EA Standard,E2182738
Kleinburg_Village,Custom,C12453
Korea_Town,EA Standard,E2182739
Lakeshore_Village,EA Standard,E2182740
Lawrence_Ingram_Keele,Custom,C12454
Leslieville,EA Standard,E2182741
Liberty_Village,EA Standard,E2182742
Little_Italy,EA Standard,E2182743
Little_Portugal,EA Standard,E2182744
Long_Branch,EA Standard,E2182745
MarkeTO_District,EA Standard,E2182746
Midtown_Yonge,EA Standard,E2182747
Mimico_By_The_Lake,EA Standard,E2182749
Mimico_Village,EA Standard,E2182748
Mirvish_Village,EA Standard,E2182750
Mount_Dennis,EA Standard,E2182751
Mount_Pleasant_Village,EA Standard,E2182752
Newmarket,EA Standard,C12881
North_End,EA Standard,E2182594
North_Shore,Custom,C12455
Oakwood_Village,Custom,C12456
Old_Town_Toronto,Custom,C12457
Orleans,EA Standard,E2182663
Ossington_Avenue,EA Standard,E2182754
Pape_Village,EA Standard,E2182755
Parkdale_Village,EA Standard,E2182756
Penticton,Custom,C12459
Penticton,Custom,C12894
Penticton_North_Gateway,Custom,C12895
Queen_Street_West,EA Standard,E2182757
Quinpool,EA Standard,E2185587
Regal_Heights_Village,EA Standard,E2182758
Revelstoke,Custom,C12460
Revelstoke_Apartments,Custom,C12760
Revelstoke_Resort_and_Airport,Custom,C12762
Riverside_District,Custom,C12461
Rogers_Road,Custom,C12462
Roncesvalles_Village,EA Standard,E2182761
Rosedale_Main_Street,Custom,C12463
Sheppard_East_Village,EA Standard,E2182763
Shop_The_Queensway,EA Standard,E2182764
Spring_Garden_Area,EA Standard,E2185586
St_Clair_Gardens,EA Standard,E2182766
Stouffville,Custom,C12467
The_Beach,EA Standard,E2182767
The_Eglinton_Way,EA Standard,E2182768
The_Junction,EA Standard,E2182736
The_Kingsway,EA Standard,E2182769
The_Waterfront,EA Standard,E2182770
Thornhill_Centre_Street,Custom,C12469
Toronto_Downtown_West,Custom,C12470
Trinity_Bellwoods,EA Standard,E2182772
Upper_Avenue,Custom,C12471
Upper_Village,EA Standard,E2182773
Uptown Saint John,EA Standard,E2182683
Uptown_Waterloo,Custom,C12472
Uptown_Yonge,EA Standard,E2182774
Vanier,EA Standard,E2182668
Victoria,Custom,C12473
Victoria_Park_Calgary,Custom,C12474
Village_of_Islington,Custom,C12476
Wellington_West,EA Standard,E2182672
West_Queen_West,EA Standard,E2182776
Weston_Village,EA Standard,E2182777
Wexford_Heights,EA Standard,E2182778
Wilson_Village,EA Standard,E2182779
Woodbridge_Village,Custom,C12774
Wychwood_Heights,EA Standard,E2182780
Yonge_And_St_Clair,EA Standard,E2182782
Yonge_Lawrence_Village,EA Standard,E2182781
Yonge_North_York,EA Standard,E2403755
York_Eglinton,EA Standard,E2182783
