Study Area,Geography,Geofence_Id
124 Street BIA,EA Standard,E2182571
33rd Street BID,EA Standard,E2182684
Brandon_Downtown_BIZ,Custom,C12720
Brantford BIA,EA Standard,E2403771
Burlington Downtown Bussiness Assoc.,EA Standard,E2182546
Burnaby North Road BIA,EA Standard,E2182547
Cooksville BIA,EA Standard,E2403756
Corner_Brook_Downtown_Business_Assoc,Custom,C12721
Cornwall BIA,EA Standard,E2403748
Crescent Heights Village BIA,EA Standard,E2182554
Destination Centre-Ville BIA,EA Standard,E2182629
Downtown Barrie BIA,EA Standard,E2182542
Downtown Bathurst Revitalization Corp,EA Standard,E2182543
Downtown Brampton BIA,EA Standard,E2182545
Downtown Calgary BIA,EA Standard,E2182552
Downtown Dartmouth,EA Standard,E2182591
Downtown Edmonton BIA,EA Standard,E2182575
Downtown Fredericton BIA,EA Standard,E2182585
Downtown Guelph BIA,EA Standard,E2182590
Downtown Halifax BIA,EA Standard,E2182592
Downtown Hamilton BIA,EA Standard,E2182601
Downtown Kamloops BIA,EA Standard,E2613943
Downtown Kingston BIA,EA Standard,E2182612
Downtown Kitchener BIA,EA Standard,E2182613
Downtown London,EA Standard,E2182616
Downtown Moncton BIA,EA Standard,E2182627
Downtown Oakville BIA,EA Standard,E2182652
Downtown Oshawa BIA,EA Standard,E2182654
Downtown Saskatoon BID,EA Standard,E2182686
Downtown Stratford,EA Standard,E2403772
Downtown Sudbury BIA,EA Standard,E2182588
Downtown Surrey,EA Standard,E2182695
Downtown Timmins BIA,EA Standard,E2403779
Downtown Vancouver,EA Standard,E2182789
Downtown Victoria,EA Standard,E2613950
Downtown Windsor BIA,EA Standard,E2182810
Downtown Winnipeg BIA,EA Standard,E2182821
Downtown Yonge BIA,EA Standard,E2182723
Downtown_Charlottetown,Custom,C12723
Downtown_Courtenay,Custom,C12724
Downtown_Lethbridge,Custom,C12732
Downtown_Medicine_Hat,Custom,C12733
Downtown_Nanaimo,Custom,C12734
Downtown_Prince_Albert,Custom,C12735
Downtown_Prince_George,Custom,C12736
Downtown_Red_Deer,Custom,C12737
Downtown_Sherbrooke,Custom,C12738
Downtown_St_Johns,Custom,C12739
Downtown_Summerside,Custom,C12740
Downtown_Sydney,Custom,C12741
Downtown_Truro,Custom,C12742
Drummondville,Custom,C12743
Fort_St_John,Custom,C12746
Gatineau_Centreville,Custom,C12747
Granby,Custom,C12748
Gravenhurst,Custom,C12749
Heart of Orleans,EA Standard,E2182663
Iqualuit,Custom,C12750
Kitsilano Fourth Ave BIA,EA Standard,E2182796
Little Jamaica,EA Standard,E2182783
Longueuil,Custom,C12751
Marda Loop BIA,EA Standard,E2182560
Moose_Jaw,Custom,C12753
Oak_Bay_Village,Custom,C12754
Old Strathcona BIA,EA Standard,E2182581
Peterborough Downtown BIA,EA Standard,E2403751
Port_Arthur,Custom,C12756
Portage_la_Prairie,Custom,C12757
Prince_Rupert,Custom,C12758
Promenade Fleury BIA,EA Standard,E2182643
Promenade Wellington BIA,EA Standard,E2182649
Queenstown Downtown Association,EA Standard,E2403780
Regina Downtown BID,EA Standard,E2182676
Regina Warehouse BID,EA Standard,E2182677
River District BIA,EA Standard,E2182759
Riviere_du_loup,Custom,C12763
Roncesvalles Village,EA Standard,E2182761
Rue Saint-Denis BIA,EA Standard,E2182639
Saint_Georges,Custom,C12765
SDC Centre-Ville de Joliette,EA Standard,E2403855
SDC Downtown Rouyn-Noranda,EA Standard,E2403858
SDC Trois-Rivieres,EA Standard,E2403853
SDC Zone Talbot,EA Standard,E2403861
SDC_3e_Avenue,Custom,C12764
Selkirk Avenue and North End BIA,EA Standard,E2182823
Selkirk Avenue and North End BIA,EA Standard,E2182829
Sorel_Tracy,Custom,C12766
St. Catharines Downtown Assoc,EA Standard,E2182691
Steveston BIA,EA Standard,E2182678
Stouffville,Custom,C12768
Swift_Current,Custom,C12769
Uptown Saint John BIA,EA Standard,E2182683
Vaughan_VMC,Custom,C12771
Victoriaville,Custom,C12772
Vieux-Quebec BIA,EA Standard,E2182675
Whitehorse,Custom,C12773
Yellowknife,Custom,C12775
